tv_spend,search_spend,social_spend,price,promo,season,revenue
957.47,482.95,134.19,17.85,1,A,3641.33
597.79,143.56,413.15,19.46,0,A,2789.81
552.91,267.25,579.66,20.06,0,D,2623.65
552.92,739.19,318.0,20.21,0,C,2834.18
1859.89,105.87,169.34,24.2,1,B,2523.3
1146.68,573.61,112.66,22.39,1,B,2897.66
452.43,57.58,92.66,18.22,0,B,2746.11
987.93,1034.27,31.54,21.62,0,C,2539.72
799.58,262.71,189.65,22.25,1,A,3118.7
86.37,505.6,181.61,23.85,0,B,2374.03
268.5,421.05,396.76,24.95,0,C,1993.79
842.47,431.19,141.36,18.46,0,A,3208.15
1746.07,477.37,197.7,18.97,1,D,3238.76
556.74,89.71,273.6,17.86,0,B,2576.61
423.21,437.05,314.52,20.41,0,A,3176.85
725.6,343.26,367.38,22.17,1,B,2790.31
402.11,263.76,255.01,23.47,0,B,2471.09
527.1,218.0,71.56,20.81,0,B,2943.18
659.72,444.23,296.13,20.2,0,A,2654.84
256.05,183.97,133.28,21.38,0,C,2343.28
1188.02,731.16,494.53,18.91,1,A,3406.67
214.07,529.1,227.51,26.22,0,B,1897.27
189.12,461.84,265.84,16.98,0,A,3703.67
773.58,712.61,978.59,21.46,0,D,2332.35
1125.34,77.33,371.6,26.06,1,C,2142.37
759.13,139.72,292.48,21.02,1,A,3161.93
608.71,543.86,202.06,20.52,0,D,2306.82
522.95,227.58,77.26,20.11,0,C,2579.16
455.96,249.38,191.45,20.55,1,D,2893.41
1375.12,123.42,111.49,24.43,0,C,2085.3
848.42,184.37,624.47,15.47,1,A,3790.34
486.93,741.07,295.14,24.83,1,D,2260.26
374.64,535.85,483.04,17.44,1,B,3114.43
1035.05,441.05,138.16,20.33,0,D,2661.83
1353.38,256.5,118.38,19.93,0,C,3108.03
1272.48,423.23,347.98,22.47,1,A,3007.19
320.42,780.63,107.73,17.0,0,C,3148.5
519.4,231.78,159.66,22.16,0,D,2480.65
448.57,380.8,643.19,26.06,1,D,1925.99
575.32,1072.47,164.66,17.59,1,B,3845.74
1180.44,609.18,62.65,21.47,0,A,2864.85
1640.9,259.15,41.57,19.35,0,A,3400.07
871.39,579.04,55.42,22.06,0,D,2225.04
385.94,104.37,501.31,21.05,1,A,3503.36
648.34,370.61,145.16,19.4,1,B,3353.33
1845.02,578.65,959.66,22.22,0,C,2665.15
712.64,499.66,583.88,25.51,0,A,2394.59
523.87,575.18,740.14,20.52,1,D,2845.66
559.54,655.3,437.34,22.8,0,C,2687.04
868.61,524.75,335.87,17.77,0,C,3048.39
330.25,515.26,114.85,18.61,1,B,2846.59
439.68,447.66,223.45,22.18,0,D,2110.31
1259.91,167.97,358.67,24.71,1,A,2656.79
851.25,740.87,419.96,21.89,0,D,2518.37
718.06,379.61,84.12,20.22,0,C,2669.9
1302.41,599.87,193.73,21.0,1,D,3109.48
365.87,695.16,210.72,17.87,0,A,2817.14
511.37,268.63,204.63,22.51,1,A,2975.79
831.57,285.83,94.55,23.21,0,B,2015.75
810.77,313.69,686.22,19.87,0,A,3171.47
170.34,826.3,188.88,19.82,0,A,2992.42
472.18,197.75,100.65,21.66,0,D,2466.98
586.8,912.73,696.82,19.91,0,D,2518.66
897.84,444.43,584.24,20.83,0,C,2935.18
808.71,465.12,247.9,26.25,0,B,2314.42
628.96,676.39,155.95,20.38,0,D,2728.41
85.64,412.21,51.08,20.1,1,A,3187.11
653.07,745.9,319.2,19.38,1,C,3266.84
698.26,268.37,147.52,22.86,1,D,2399.33
2919.2,895.26,219.52,20.55,0,B,3049.9
572.18,283.47,658.31,19.38,0,B,3262.54
834.82,915.72,139.06,24.3,1,C,2794.19
1448.09,288.93,309.98,24.55,0,C,2027.66
1135.23,320.0,374.54,19.5,0,C,2873.6
1685.12,179.86,491.38,16.33,1,C,3188.1
173.16,219.89,207.98,23.52,1,C,2675.35
274.82,380.88,192.24,19.29,0,A,3133.96
414.91,455.41,188.88,22.98,0,A,2196.67
143.73,713.25,289.79,16.07,1,D,3151.39
702.7,336.01,568.67,23.23,0,B,2382.73
295.67,161.75,182.42,17.97,1,A,3394.15
1830.08,500.35,15.27,22.83,1,A,2688.87
338.48,435.79,402.45,21.04,1,A,3233.95
513.8,535.57,235.16,18.62,0,D,2853.52
