timestamp,ski_id,ambient_temp_c,engine_temp_c,rpm,oil_pressure_psi,vibration_g,battery_voltage,hours_since_service,in_use,failure
2024-05-01T08:00:00,1,17.5,173.97,4482,48.95,0.671,12.415,27,1,0
2024-05-01T09:00:00,1,18.01,25.0,0,49.78,0.293,12.482,27,0,0
2024-05-01T10:00:00,1,17.56,173.73,4364,47.99,0.654,12.428,28,1,0
2024-05-01T11:00:00,1,17.74,25.0,0,49.65,0.28,12.478,28,0,0
2024-05-01T12:00:00,1,19.74,168.88,4078,46.1,0.628,12.424,29,1,0
2024-05-01T13:00:00,1,20.61,26.19,0,51.14,0.268,12.493,29,0,0
2024-05-01T14:00:00,1,19.58,26.51,0,46.51,0.29,12.507,29,0,0
2024-05-01T15:00:00,1,21.97,28.69,0,49.49,0.272,12.468,29,0,0
2024-05-01T16:00:00,1,22.44,27.76,0,51.13,0.291,12.516,29,0,0
2024-05-01T17:00:00,1,22.03,26.09,0,49.9,0.307,12.516,29,0,0
2024-05-01T18:00:00,1,22.82,25.0,0,47.23,0.277,12.514,29,0,0
2024-05-01T19:00:00,1,22.79,176.1,4363,45.39,0.642,12.387,30,1,0
2024-05-01T20:00:00,1,24.35,28.16,0,46.98,0.298,12.487,30,0,0
2024-05-01T21:00:00,1,23.27,28.63,0,50.32,0.324,12.528,30,0,0
2024-05-01T22:00:00,1,24.7,28.92,0,47.12,0.31,12.496,30,0,0
2024-05-01T23:00:00,1,21.25,32.07,0,50.7,0.277,12.438,30,0,0
2024-05-02T00:00:00,1,21.04,28.17,0,50.19,0.294,12.471,30,0,0
2024-05-02T01:00:00,1,20.71,25.97,0,51.84,0.287,12.467,30,0,0
2024-05-02T02:00:00,1,19.65,25.0,0,51.74,0.305,12.498,30,0,0
2024-05-02T03:00:00,1,18.95,25.0,0,50.22,0.329,12.507,30,0,0
2024-05-02T04:00:00,1,19.36,26.57,0,50.73,0.328,12.508,30,0,0
2024-05-02T05:00:00,1,16.75,25.0,0,52.8,0.275,12.476,30,0,0
2024-05-02T06:00:00,1,17.44,25.26,0,50.06,0.31,12.441,30,0,0
2024-05-02T07:00:00,1,16.61,168.36,4180,49.2,0.605,12.42,31,1,0
2024-05-02T08:00:00,1,18.1,174.82,4373,48.33,0.674,12.41,32,1,0
2024-05-02T09:00:00,1,17.35,174.92,4549,47.33,0.666,12.487,33,1,0
2024-05-02T10:00:00,1,16.89,164.0,3975,48.12,0.639,12.401,34,1,0
2024-05-02T11:00:00,1,15.82,166.47,4116,45.65,0.624,12.367,35,1,0
2024-05-02T12:00:00,1,21.57,32.38,0,47.53,0.29,12.513,35,0,0
2024-05-02T13:00:00,1,18.56,25.0,0,49.61,0.27,12.495,35,0,0
2024-05-02T14:00:00,1,20.79,26.11,0,50.58,0.298,12.502,35,0,0
2024-05-02T15:00:00,1,21.67,29.82,0,50.65,0.282,12.469,35,0,0
2024-05-02T16:00:00,1,22.33,166.48,3877,48.46,0.585,12.411,36,1,0
2024-05-02T17:00:00,1,22.7,176.35,4451,47.51,0.683,12.336,37,1,0
2024-05-02T18:00:00,1,23.33,28.98,0,53.33,0.266,12.528,37,0,0
2024-05-02T19:00:00,1,23.34,177.31,4370,48.42,0.681,12.45,38,1,0
2024-05-02T20:00:00,1,25.61,183.96,4777,47.14,0.665,12.437,39,1,0
2024-05-02T21:00:00,1,24.35,30.85,0,53.52,0.312,12.455,39,0,0
2024-05-02T22:00:00,1,21.71,25.31,0,47.85,0.298,12.466,39,0,0
2024-05-02T23:00:00,1,23.01,28.62,0,50.02,0.305,12.551,39,0,0
2024-05-03T00:00:00,1,21.48,27.22,0,51.57,0.286,12.527,39,0,0
2024-05-03T01:00:00,1,21.74,26.45,0,49.57,0.305,12.532,39,0,0
2024-05-03T02:00:00,1,20.54,25.94,0,51.56,0.297,12.542,39,0,0
2024-05-03T03:00:00,1,20.92,25.0,0,53.08,0.288,12.506,39,0,0
2024-05-03T04:00:00,1,17.27,25.0,0,50.92,0.303,12.46,39,0,0
2024-05-03T05:00:00,1,18.63,25.0,0,51.4,0.302,12.518,39,0,0
2024-05-03T06:00:00,1,17.87,25.0,0,49.34,0.295,12.527,39,0,0
